predicting_date,predicting_return,monthly_return,lag_return,GDP_g,Personal_Savings_Rate,Unemployment,CPI_inflation,FedFunds_lag1,Term_Spread_lag1,BAA_Yield_lag1,VIX_ret_lag1,sample_set
1985-01-01,7.408514101104169,2.23743955320983,-1.5112255778064076,7.1,11.1,7.3,0.19011412570240083,9.43,0.73,13.48,47.09977347468808,train
1985-02-01,0.8628779996860514,7.408514101104169,2.23743955320983,3.9,10.2,7.3,0.18975337761917288,8.38,0.73,13.4,47.09977347468808,train
1985-03-01,-0.28700134379759934,0.8628779996860514,7.408514101104169,3.9,8.9,7.2,0.18939399600705897,8.35,0.73,13.26,47.09977347468808,train
1985-04-01,-0.4594275513284285,-0.28700134379759934,0.8628779996860514,3.9,8.6,7.2,0.5660392471710018,8.5,1.25,13.23,47.09977347468808,train
1985-05-01,5.405105444993996,-0.4594275513284285,-0.28700134379759934,3.3,9.8,7.3,0.469264117819268,8.58,1.13,13.69,47.09977347468808,train
1985-06-01,1.2134017487352766,5.405105444993996,-0.4594275513284285,3.3,11,7.2,0.1870907935811239,8.27,1.21,13.51,47.09977347468808,train
1985-07-01,-0.48475783423665986,1.2134017487352766,5.405105444993996,3.3,9.6,7.4,0.1867414174795634,7.97,1.45,13.15,47.09977347468808,train
1985-08-01,-1.1994517641396585,-0.48475783423665986,1.2134017487352766,3.9,9.1,7.4,0.2794598931015635,7.53,1.45,12.4,47.09977347468808,train
1985-09-01,-3.472407826012114,-1.1994517641396585,-0.48475783423665986,3.9,8.1,7.1,0.1858736594625654,7.88,1.53,12.43,47.09977347468808,train
1985-10-01,4.250881708769816,-3.472407826012114,-1.1994517641396585,3.9,7.3,7.1,0.18552881017459555,7.9,1.47,12.5,47.09977347468808,train
1985-11-01,6.506158659888994,4.250881708769816,-3.472407826012114,3.6,9.1,7.1,0.18518523810735488,7.92,1.47,12.48,47.09977347468808,train
1985-12-01,4.506109063095853,6.506158659888994,4.250881708769816,3.6,9,7,0.3693448335352123,7.99,1.46,12.36,47.09977347468808,train
1986-01-01,0.23665278440403448,4.506109063095853,6.506158659888994,3.6,8.6,7,0.45977092486291227,8.05,1.28,11.99,47.09977347468808,train
1986-02-01,7.148927885973944,0.23665278440403448,4.506109063095853,6.3,8.7,6.7,0.4576667027412107,8.27,1.28,11.58,47.09977347468808,train
1986-03-01,5.279391778691878,7.148927885973944,0.23665278440403448,6.3,9.3,7.2,0.3646312153020581,8.14,1.28,11.44,47.09977347468808,train
1986-04-01,-1.4148136083619978,5.279391778691878,7.148927885973944,6.3,9.9,7.2,-0.18214941283911656,7.86,1.28,11.11,47.09977347468808,train
1986-05-01,5.022928675463656,-1.4148136083619978,5.279391778691878,3,9.7,7.1,-0.548447444216027,7.48,1.28,10.5,47.09977347468808,train
1986-06-01,1.4109521521153523,5.022928675463656,-1.4148136083619978,3,9.3,7.2,-0.3673098711860945,6.99,0.48,10.19,47.09977347468808,train
1986-07-01,-5.868283142882347,1.4109521521153523,5.022928675463656,3,9.4,7.2,0.27560881019796923,6.85,0.6,10.29,47.09977347468808,train
1986-08-01,7.119260505765657,-5.868283142882347,1.4109521521153523,3.8,9.3,7,0.366300775873718,6.92,0.6,10.34,47.09977347468808,train
1986-09-01,-8.54386034765885,7.119260505765657,-5.868283142882347,3.8,8.9,6.9,0.091365926867492675,6.56,0.57,10.16,47.09977347468808,train
1986-10-01,5.47293273494327,-8.54386034765885,7.119260505765657,3.8,7.1,7,0.09128252573598061,6.17,0.78,10.18,47.09977347468808,train
1986-11-01,2.147719315076868,5.47293273494327,-8.54386034765885,1.8,8.3,7,0.36429912785012064,5.89,0.78,10.2,47.09977347468808,train
1986-12-01,-2.828827147590973,2.147719315076868,5.47293273494327,1.8,8.6,6.9,0.18165309263977747,5.85,1.05,10.24,47.09977347468808,train
1987-01-01,13.176689368870086,-2.828827147590973,2.147719315076868,1.8,6.8,6.6,0.1813237124181022,6.04,1.05,10.07,47.09977347468808,train
1987-02-01,3.6923621317010324,13.176689368870086,-2.828827147590973,3.9,9.4,6.6,0.36166404701880595,6.91,0.93,9.97,47.09977347468808,train
1987-03-01,2.638986515783981,3.6923621317010324,13.176689368870086,3.9,8.2,6.6,0.5400553180000323,6.43,0.93,9.72,47.09977347468808,train
1987-04-01,-1.1450211572491154,2.638986515783981,3.6923621317010324,3.9,8.1,6.6,0.35842332278148703,6.1,0.93,9.65,47.09977347468808,train
1987-05-01,0.6034196283620119,-1.1450211572491154,2.638986515783981,2.2,4.1,6.3,0.35714323675977155,6.13,0.93,9.61,47.09977347468808,train
1987-06-01,4.791449018971927,0.6034196283620119,-1.1450211572491154,2.2,7.8,6.3,0.4446427957134347,6.37,0.94,10.04,47.09977347468808,train
1987-07-01,4.8223696256938675,4.791449018971927,0.6034196283620119,2.2,7.3,6.2,0.2658397666610135,6.85,0.92,10.51,47.09977347468808,train
1987-08-01,3.4958840151999793,4.8223696256938675,4.791449018971927,3,7.1,6.1,0.44150182091167167,6.73,0.78,10.52,47.09977347468808,train
1987-09-01,-2.41661659057012,3.4958840151999793,4.8223696256938675,3,6.8,6,0.263968477077281,6.58,0.92,10.61,47.09977347468808,train
1987-10-01,-21.763041421998008,-2.41661659057012,3.4958840151999793,3,7.2,5.9,0.438404910853496,6.73,0.92,10.8,47.09977347468808,train
1987-11-01,-8.53488653536516,-21.763041421998008,-2.41661659057012,4.4,7.9,6,0.34934533345598595,7.22,1.07,11.31,47.09977347468808,train
1987-12-01,7.286147875354443,-8.53488653536516,-21.763041421998008,4.4,8.2,5.8,0.2612104227925016,7.29,1.04,11.62,47.09977347468808,train
1988-01-01,4.043227059709542,7.286147875354443,-8.53488653536516,4.4,8.4,5.7,0.34722257107491217,6.69,1.04,11.23,47.09977347468808,train
1988-02-01,4.181740262854561,4.043227059709542,7.286147875354443,3.5,7.9,5.7,0.17316021642779234,6.77,1.24,11.29,47.09977347468808,train
1988-03-01,-3.334326201018556,4.181740262854561,4.043227059709542,3.5,8.4,5.7,0.3454234868087269,6.83,1.24,11.07,47.09977347468808,train
1988-04-01,0.9424743272317793,-3.334326201018556,4.181740262854561,3.5,8,5.7,0.17226533114467202,6.58,1.04,10.62,47.09977347468808,train
1988-05-01,0.3176126477985486,0.9424743272317793,-3.334326201018556,7,8.7,5.4,0.2578428587944437,6.58,1.04,10.57,47.09977347468808,train
1988-06-01,4.325601228060116,0.3176126477985486,0.9424743272317793,7,8.3,5.6,0.5990604137156907,6.87,1.04,10.9,47.09977347468808,train
1988-07-01,-0.5411374721492224,4.325601228060116,0.3176126477985486,7,8.4,5.4,0.25564564413009805,7.09,1.04,11.04,47.09977347468808,train
1988-08-01,-3.860010449258666,-0.5411374721492224,4.325601228060116,2.1,8.6,5.4,0.42462908814515643,7.51,0.94,11,47.09977347468808,train
1988-09-01,3.972933268934309,-3.860010449258666,-0.5411374721492224,2.1,8.4,5.6,0.42283361095210026,7.75,0.79,11.11,47.09977347468808,train
1988-10-01,2.59644642106176,3.972933268934309,-3.860010449258666,2.1,8.8,5.4,0.4210532536343514,8.01,0.71,11.21,47.09977347468808,train
1988-11-01,-1.8890880706211144,2.59644642106176,3.972933268934309,5.4,8.6,5.4,0.4192878260036004,8.19,0.57,10.9,47.09977347468808,train
1988-12-01,1.4687573381001906,-1.8890880706211144,2.59644642106176,5.4,8.4,5.3,0.33416906619025966,8.3,0.57,10.41,47.09977347468808,train
1989-01-01,7.111479156412925,1.4687573381001906,-1.8890880706211144,5.4,8.3,5.3,0.33305609471652176,8.35,0.43,10.48,47.09977347468808,train
1989-02-01,-2.894414843113058,7.111479156412925,1.4687573381001906,2.4,8.5,5.4,0.3319505122852284,8.76,0.15,10.65,47.09977347468808,train
1989-03-01,2.0805961609083434,-2.894414843113058,7.111479156412925,2.4,8.9,5.2,0.4133945531727967,9.12,0.15,10.65,47.09977347468808,train
1989-04-01,5.008993717851862,2.0805961609083434,-2.894414843113058,2.4,9.4,5,0.3294895896853056,9.36,-0.13,10.61,47.09977347468808,train
1989-05-01,3.5137494672926595,5.008993717851862,2.0805961609083434,5.4,8.3,5.2,0.49220772054283657,9.85,-0.19,10.67,47.09977347468808,train
1989-06-01,-0.7924554206930945,3.5137494672926595,5.008993717851862,5.4,8,5.2,0.7337986452912837,9.84,-0.19,10.61,47.09977347468808,train
1989-07-01,8.837025792525587,-0.7924554206930945,3.5137494672926595,5.4,8.1,5.3,0.48622462080345485,9.81,-0.22,10.46,47.09977347468808,train
1989-08-01,1.551671822445666,8.837025792525587,-0.7924554206930945,4.1,8.1,5.2,0.32284128121187194,9.53,-0.21,10.03,47.09977347468808,train
1989-09-01,-0.6544368276168888,1.551671822445666,8.837025792525587,4.1,7.5,5.2,0.3218023694200767,9.24,-0.21,9.87,47.09977347468808,train
1989-10-01,-2.517545094824758,-0.6544368276168888,1.551671822445666,4.1,7.9,5.3,0,8.99,0.28,9.88,47.09977347468808,train
1989-11-01,1.6541324259951473,-2.517545094824758,-0.6544368276168888,3.1,8.4,5.3,0.2406740030565402,9.02,-0.18,9.91,47.09977347468808,train
1989-12-01,2.1416815142801804,1.6541324259951473,-2.517545094824758,3.1,8.5,5.4,0.4796172263493048,8.84,-0.18,9.81,47.09977347468808,train
1990-01-01,-6.881722621461728,2.1416815142801804,1.6541324259951473,3.1,7.7,5.4,0.39793128514808984,8.55,0.04,9.81,47.09977347468808,train
1990-02-01,0.8539042758088922,-6.881722621461728,2.1416815142801804,3,7.9,5.4,0.31720883061439054,8.45,0.11,9.82,47.09977347468808,train
1990-03-01,2.4254986404143253,0.8539042758088922,-6.881722621461728,3,8.5,5.3,0.945633524203604,8.23,0.11,9.94,47.09977347468808,train
1990-04-01,-2.688714062127162,2.4254986404143253,0.8539042758088922,3,8.3,5.2,0.39138993211356166,8.24,0.14,10.14,-13.288646522578617,train
1990-05-01,9.198919079889457,-2.688714062127162,2.4254986404143253,0.8,8.7,5.4,0.4676547883901705,8.28,0.06,10.21,-10.277399965461287,train
1990-06-01,-0.8886365681221697,9.198919079889457,-2.688714062127162,0.8,8.7,5.4,0.2330098141623438,8.26,0.06,10.3,-1.0643643656610746,train
1990-07-01,-0.5223158411739148,-0.8886365681221697,9.198919079889457,0.8,8.6,5.2,0.15503879074545424,8.18,0.06,10.41,-11.014342049747016,train
1990-08-01,-9.431418479162911,-0.5223158411739148,-0.8886365681221697,4.4,8.7,5.5,0.61776258239572,8.29,0.11,10.22,-10.765692279125583,train
1990-09-01,-5.1184306456431905,-9.431418479162911,-0.5223158411739148,4.4,8.1,5.7,0.4608303086194532,8.15,0.11,10.2,36.193552324848795,train
1990-10-01,-0.6698212301042394,-5.1184306456431905,-9.431418479162911,4.4,8.1,5.9,0.8393792128468469,8.13,0.44,10.41,41.63902773109547,train
1990-11-01,5.993421454178649,-0.6698212301042394,-5.1184306456431905,1.5,7.9,5.9,0.6815626535059849,8.2,0.44,10.64,-2.6421371848082464,train
1990-12-01,2.482775733875209,5.993421454178649,-0.6698212301042394,1.5,8,6.2,0.676948805524713,8.11,0.77,10.74,3.1947794080260827,train
1991-01-01,4.15177499981747,2.482775733875209,5.993421454178649,1.5,8.8,6.3,0.22463506263736832,7.81,0.89,10.62,-26.231693834743353,train
1991-02-01,6.728117681278034,4.15177499981747,2.482775733875209,0.3,9.4,6.4,0.3732740429684078,7.31,0.89,10.43,19.04331833218542,train
1991-03-01,2.2202832522042026,6.728117681278034,4.15177499981747,0.3,9,6.6,0.371885887873713,6.91,0.89,10.45,-20.735403667069463,train
1991-04-01,0.03197993624997064,2.2202832522042026,6.728117681278034,0.3,8.1,6.8,0.07421150618878158,6.25,1.08,10.07,1.5303667965536727,train
1991-05-01,3.8604972493607503,0.03197993624997064,2.2202832522042026,-3.6,8.7,6.7,0,6.12,0.94,10.09,-20.48987506012685,train
1991-06-01,-4.789262897479862,3.8604972493607503,0.03197993624997064,-3.6,8.5,6.9,0.22230464879466894,5.91,1.06,9.94,8.05687605431018,train
1991-07-01,4.485934295776639,-4.789262897479862,3.8604972493607503,-3.6,9,6.9,0.36941305401416713,5.78,1.21,9.86,-12.664470915181225,train
1991-08-01,1.9648784624321625,4.485934295776639,-4.789262897479862,-1.9,8.4,6.8,0.2945510229757531,5.9,1.21,9.96,22.72441219419563,train
1991-09-01,-1.9143735843086374,1.9648784624321625,4.485934295776639,-1.9,8.7,6.9,0.1469507979359186,5.82,1.29,9.89,-22.352936585289708,train
1991-10-01,1.1834236654519215,-1.9143735843086374,1.9648784624321625,-1.9,8.9,6.9,0.29325534212780724,5.66,1.36,9.65,-4.743084667681574,train
1991-11-01,-4.390370862630699,1.1834236654519215,-1.9143735843086374,3.2,9.4,7,0.2923978691435458,5.45,1.36,9.51,9.61272710688652,train
1991-12-01,11.15878550742815,-4.390370862630699,1.1834236654519215,3.2,9.1,7,0.14587894636592935,5.21,1.46,9.49,-2.3343900967091935,train
1992-01-01,-1.9923751783923582,11.15878550742815,-4.390370862630699,3.2,9.8,7.3,0.4363643287773833,4.81,1.83,9.45,30.878558320389725,train
1992-02-01,0.958954312696414,-1.9923751783923582,11.15878550742815,2,9.5,7.3,0.28985527540115186,4.43,1.83,9.26,-4.689046160943134,train
1992-03-01,-2.183186212532784,0.958954312696414,-1.9923751783923582,2,9.8,7.4,0.0723327337142976,4.03,1.83,9.13,-9.891247541362358,train
1992-04-01,2.7892713957560433,-2.183186212532784,0.958954312696414,2,9.7,7.4,0.2166848085090045,4.06,1.83,9.23,-4.1379271789622525,train
1992-05-01,0.09639568254424802,2.7892713957560433,-2.183186212532784,1.4,9.8,7.4,0.360101217359432,3.98,1.83,9.25,-2.9976018636213686,train
1992-06-01,-1.7358833150663777,0.09639568254424802,2.7892713957560433,1.4,9.8,7.6,0.21543993970265518,3.73,1.93,9.21,-4.017308775925443,train
1992-07-01,3.9373686063305824,-1.7358833150663777,0.09639568254424802,1.4,10,7.8,0.21497679364923528,3.82,2.23,9.13,-10.753381229932845,train
1992-08-01,-2.399753160189122,3.9373686063305824,-1.7358833150663777,4.9,9.5,7.7,0.2859187080045622,3.76,2.1,9.05,-3.679648541418401,train
1992-09-01,0.9105593857418715,-2.399753160189122,3.9373686063305824,4.9,9.6,7.6,0.28510354308393104,3.25,2.28,8.84,-1.3483168541749913,train
1992-10-01,0.2106282691536565,0.9105593857418715,-2.399753160189122,4.9,8.6,7.6,0.21329549501416523,3.3,2.28,8.65,3.1131347383217545,train
1992-11-01,3.026180770368403,0.2106282691536565,0.9105593857418715,4.4,7.9,7.3,0.21284151348259783,3.22,2.44,8.62,5.154637799689343,train
1992-12-01,1.0107766987062838,3.026180770368403,0.2106282691536565,4.4,7.9,7.4,0.42432878378662053,3.1,2.56,8.84,13.095237538705451,train
1993-01-01,0.7045987892006611,1.0107766987062838,3.026180770368403,4.4,10.5,7.4,0.28188884064199726,3.09,2.56,8.96,-19.44272113818286,train
1993-02-01,1.0483627595407663,0.7045987892006611,1.0107766987062838,4,8.5,7.3,0.14064699927516244,2.92,2.13,8.81,-3.3820178809899515,train
1993-03-01,1.8697299051888772,1.0483627595407663,0.7045987892006611,4,8.8,7.1,0.3507544809678187,3.02,2.13,8.67,-1.1933144166426435,train
1993-04-01,-2.541681016015662,1.8697299051888772,1.0483627595407663,4,8.8,7,0.20986366569202275,3.03,2.19,8.39,5.958130165639863,train
1993-05-01,2.271746278774489,-2.541681016015662,1.8697299051888772,4.2,8.7,7.1,0.1396648271721368,3.07,2.06,8.15,-4.787234967672182,train
1993-06-01,0.07552285391652092,2.271746278774489,-2.541681016015662,4.2,8.2,7.1,0.3483110452820348,2.96,2.12,8.14,-0.8778903353668488,train
1993-07-01,-0.532704570835929,0.07552285391652092,2.271746278774489,4.2,7.7,7,0.27777795639023495,3,2.12,8.21,8.454107763968533,train
1993-08-01,3.4431956145887233,-0.532704570835929,0.07552285391652092,0.7,7.5,6.9,0.06932409289763797,3.04,1.91,8.07,-16.406829950527168,train
1993-09-01,-0.9987930164805148,3.4431956145887233,-0.532704570835929,0.7,7.6,6.8,0.13850417726617437,3.06,1.81,7.93,4.174061312618327,train
1993-10-01,1.9392922751884534,-0.9987930164805148,3.4431956145887233,0.7,6.8,6.7,0.20739723991294312,3.03,1.81,7.6,1.023025097326813,train
1993-11-01,-1.291062608362914,1.9392922751884534,-0.9987930164805148,2.3,6.2,6.8,0.1380262468957838,3.09,1.58,7.34,9.620247704220297,train
1993-12-01,1.0091174724184304,-1.291062608362914,1.9392922751884534,2.3,6.2,6.6,0.4129393342011234,2.99,1.5,7.31,-11.778289144954247,train
1994-01-01,3.2500745519977725,1.0091174724184304,-1.291062608362914,2.3,9,6.5,0.2743485945750912,3.02,1.45,7.66,20.0698096254698,train
1994-02-01,-3.004499728667853,3.2500745519977725,1.0091174724184304,1.9,7,6.6,0.20526863177421362,2.96,1.62,7.69,-15.261630425426064,train
1994-03-01,-4.574651060635082,-3.004499728667853,3.2500745519977725,1.9,6.4,6.6,0,3.05,1.62,7.65,-8.833617036451303,train
1994-04-01,1.1530643100964522,-4.574651060635082,-3.004499728667853,1.9,6.7,6.5,0.2730377122857064,3.25,1.57,7.76,39.887109364731785,train
1994-05-01,1.2397144202814125,1.1530643100964522,-4.574651060635082,5.6,6.3,6.4,0.2722942458456501,3.34,1.47,8.13,37.5252247499972,train
1994-06-01,-2.679082362832008,1.2397144202814125,1.1530643100964522,5.6,7.5,6.1,0.06795786873841081,3.56,1.47,8.52,-32.66503694846614,train
1994-07-01,3.1489907258900107,-2.679082362832008,1.2397144202814125,5.6,6.8,6.1,0.20359694850986543,4.01,1.47,8.62,-5.374006537343723,train
1994-08-01,3.7598699649926237,3.1489907258900107,-2.679082362832008,3.9,6.9,6.1,0.2708193936879155,4.25,1.14,8.65,14.888722746084394,train
1994-09-01,-2.6877534841474704,3.7598699649926237,3.1489907258900107,3.9,6.4,6,0.33749610165259014,4.26,1.15,8.8,-25.65130316694403,train
1994-10-01,2.0833815622011143,-2.6877534841474704,3.7598699649926237,3.9,6.7,5.9,0.4034975212179326,4.47,1.1,8.74,7.547171104679595,train
1994-11-01,-3.950461187888721,2.0833815622011143,-2.6877534841474704,5.5,7,5.8,0.20113985996852435,4.73,1.04,8.98,19.298240721892412,train
1994-12-01,1.2299117331743048,-3.950461187888721,2.0833815622011143,5.5,6.9,5.6,0.06695681535724418,4.76,1.04,9.2,1.9607891588331983,train
1995-01-01,2.4277711761677034,1.2299117331743048,-3.950461187888721,5.5,7,5.5,0.2673798384402737,5.29,0.98,9.32,9.54669882959407,train
1995-02-01,3.607414807259257,2.4277711761677034,1.2299117331743048,2.4,7.3,5.6,0.20006675562962428,5.45,0.5,9.1,-17.241379516522393,train
1995-03-01,2.732919511338072,3.607414807259257,2.4277711761677034,2.4,7.7,5.4,0.2661345549514138,5.53,0.5,9.08,-9.393937795724838,train
1995-04-01,2.796035780491146,2.732919511338072,3.607414807259257,2.4,7.4,5.4,0.26542815848733525,5.92,0.33,8.85,-1.7558531561636115,train
1995-05-01,3.631171269946476,2.796035780491146,2.732919511338072,4.7,6.8,5.8,0.1986097971629519,5.98,0.42,8.7,13.787233068587934,train
1995-06-01,2.1278543431649366,3.631171269946476,2.796035780491146,4.7,7,5.6,0.3960401216096976,6.05,0.42,8.6,-12.116678380145995,train
1995-07-01,3.177603957520647,2.1278543431649366,3.631171269946476,4.7,6.5,5.6,0.19743343037168515,6.01,0.47,8.2,9.361705374210437,train
1995-08-01,-0.03202374774278205,3.177603957520647,2.1278543431649366,1.4,6.9,5.7,0.19704439872993973,6,0.49,7.9,-11.439690454395745,train
1995-09-01,4.009747288732535,-0.03202374774278205,3.177603957520647,1.4,6.6,5.7,0.13114755978103076,5.85,0.49,8.04,18.54129732388765,train
1995-10-01,-0.49793351897702287,4.009747288732535,-0.03202374774278205,1.4,6.6,5.6,0.19639940846598591,5.74,0.56,8.19,-14.603405091023236,train
1995-11-01,4.104900278106194,-0.49793351897702287,4.009747288732535,1.2,7,5.5,0.13071897286218714,5.8,0.44,7.93,10.590271396493733,train
1995-12-01,1.744387340596476,4.104900278106194,-0.49793351897702287,1.2,6.4,5.6,0.2609264363613306,5.76,0.44,7.75,8.555731335717475,train
1996-01-01,3.2617386869231213,1.744387340596476,4.104900278106194,1.2,6,5.6,0.13020835172987688,5.8,0.46,7.68,-16.268980566972147,train
1996-02-01,0.6933701784703983,3.2617386869231213,1.744387340596476,3.5,6.5,5.6,0.13003903002832828,5.6,0.39,7.49,8.11744853411691,train
1996-03-01,0.7916567590839696,0.6933701784703983,3.2617386869231213,3.5,6.6,5.5,0.5184716734186523,5.56,0.39,7.47,0.07986641247539339,train
1996-04-01,1.343142201418468,0.7916567590839696,0.6933701784703983,3.5,6.4,5.5,0.1937359340226763,5.22,0.7,7.63,35.9936255280886,train
1996-05-01,2.2853405991703157,1.343142201418468,0.7916567590839696,2.7,5.5,5.6,0.32206147000417573,5.31,0.73,8.03,10.798111187673687,train
1996-06-01,0.22567099722681228,2.2853405991703157,1.343142201418468,2.7,6.5,5.6,0.38510959020978675,5.22,0.52,8.19,-16.154657694045703,train
1996-07-01,-4.57480167192077,0.22567099722681228,2.2853405991703157,2.7,6.9,5.3,0.19200005898243333,5.24,0.65,8.3,1.5161072158866862,train
1996-08-01,1.881393514756069,-4.57480167192077,0.22567099722681228,3,6.5,5.5,0.19163212507642413,5.27,0.65,8.4,-14.872429589517678,train
1996-09-01,5.420332732833044,1.881393514756069,-4.57480167192077,3,6.4,5.1,0.1912655986332723,5.4,0.59,8.35,42.251452122483,train
1996-10-01,2.610100242291802,5.420332732833044,1.881393514756069,3,6.4,5.2,0.12730746467983778,5.22,0.57,8.18,-12.589922769039086,train
1996-11-01,7.337615178140577,2.610100242291802,5.420332732833044,6.8,6.1,5.2,0.31756139738865485,5.3,0.57,8.35,-0.3527305416522464,train
1996-12-01,-2.1505414489508046,7.337615178140577,2.610100242291802,6.8,6.2,5.4,0.31655613645611425,5.24,0.62,8.07,6.843656608844562,train
1997-01-01,6.131703905412889,-2.1505414489508046,7.337615178140577,6.8,6.1,5.4,0.31555721988096863,5.31,0.59,7.79,-5.356163379413026,train
1997-02-01,0.5927590234654057,6.131703905412889,-2.1505414489508046,3.6,5.9,5.3,0.25173078113773784,5.29,0.59,7.89,22.05368040402853,train
1997-03-01,-4.261401064074876,0.5927590234654057,6.131703905412889,3.6,6,5.2,0.18838310123738822,5.25,0.59,8.09,-6.931169969652917,train
1997-04-01,5.840557906734034,-4.261401064074876,0.5927590234654057,3.6,6.1,5.2,0.188028886485192,5.19,0.59,7.94,8.371859915769054,train
1997-05-01,5.857688480332501,5.840557906734034,-4.261401064074876,4.2,6.2,5.1,0.06259781112074592,5.39,0.59,8.18,4.92890516292146,train
1997-06-01,4.345261479527585,5.857688480332501,5.840557906734034,4.2,6.5,4.9,0.06255865077342548,5.51,0.48,8.34,-9.394760528668122,train
1997-07-01,7.814580943742477,4.345261479527585,5.857688480332501,4.2,6.3,5,0,5.5,0.42,8.2,-4.336983823762508,train
1997-08-01,-5.746563170852836,7.814580943742477,4.345261479527585,2.6,5.8,4.9,0.18744147943507983,5.56,0.42,8.02,12.19385141983167,train
1997-09-01,5.315359061556713,-5.746563170852836,7.814580943742477,2.6,5.7,4.8,0.12476607981550814,5.52,0.43,7.75,-0.23223939997454313,train
1997-10-01,-3.447769737522033,5.315359061556713,-5.746563170852836,2.6,5.9,4.9,0.24906613124517918,5.54,0.31,7.82,15.270022144069472,train
1997-11-01,4.458685521263939,-3.447769737522033,5.315359061556713,6.8,5.9,4.7,0.24844733276614406,5.54,0.31,7.7,-7.471730066107806,train
1997-12-01,1.5731597108694428,4.458685521263939,-3.447769737522033,6.8,6.1,4.6,0.18593125901835705,5.5,0.29,7.57,53.16455864818184,train
1998-01-01,1.0150177442407982,1.5731597108694428,4.458685521263939,6.8,6.1,4.7,0.12376239203497619,5.52,0.29,7.42,-21.82958054745743,train
1998-02-01,7.044919253631243,1.0150177442407982,1.5731597108694428,5.1,7,4.6,0.061823804133087634,5.5,0.08,7.32,-12.468100759184553,train
1998-03-01,4.994571434122053,7.044919253631243,1.0150177442407982,5.1,7,4.6,0.1235330607991969,5.56,0.08,7.19,-10.578929159992068,train
1998-04-01,0.9076469253460395,4.994571434122053,7.044919253631243,5.1,7.1,4.7,0,5.51,0.08,7.25,-13.600373403261756,train
